taxon_id,taxon,categoria,estatus,countFilteredRegistro,id_registro,latitud,longitud,altitud,estado,municipio,localidad,precipitacion,temperatura,color_grano,hileras_mazorca,longitud_promedio
232603ANGIO,Zea mays subsp. mays raza Blando de Sonora,raza,aceptado,15,af331773871fc9f09e4f1a3bf3add926,25.8722222,-108.0736111,148,SINALOA,SINALOA,El Zapote,807.95,24.4183,['blanco'],10.8,16.84
232603ANGIO,Zea mays subsp. mays raza Blando de Sonora,raza,aceptado,15,91636d3ed4115024901d1428c47c1381,27.173,-108.8241667,469,SONORA,ALAMOS,Cochibampo,814.0085,22.8394,['blanco'],9.9,18.242
232603ANGIO,Zea mays subsp. mays raza Blando de Sonora,raza,aceptado,15,144859aa0591c3d2003bcd46987980b7,23.4544444,-105.8319444,1507,SINALOA,CONCORDIA,POTRERILLOS,1310.5332,18.6784,['blanco'],9.9,14.28
232603ANGIO,Zea mays subsp. mays raza Blando de Sonora,raza,aceptado,15,2cf5328f4941f26526a64b27dd36126b,28.613,-109.106,743,SONORA,SAHUARIPA,Huisamopa,796.7024,20.4945,"['blanco', 'amarillo claro']",9.8,19.305
232603ANGIO,Zea mays subsp. mays raza Blando de Sonora,raza,aceptado,15,986dc89b63fbdb32d937692e5f390c2f,26.3947222,-108.3833333,283,SINALOA,EL FUERTE,CHINOBAMPO,820.1998,23.9074,['blanco'],12.8,16.465
232603ANGIO,Zea mays subsp. mays raza Blando de Sonora,raza,aceptado,15,fafb034ec9197e2aa8c56f8d32a5a341,26.5902778,-108.4058333,263,SINALOA,CHOIX,Aguajito del Bajahui,802.8188,24.0374,['blanco'],11.7,17.965
232603ANGIO,Zea mays subsp. mays raza Blando de Sonora,raza,aceptado,15,a2e1318f4b743f9224a0103a575b161a,21.5078889,-104.4641114,1228,NAYARIT,DEL NAYAR,EL ROBLE,1020.746,21.1441,['blanco'],9.6,17.6
232603ANGIO,Zea mays subsp. mays raza Blando de Sonora,raza,aceptado,15,7a3357f09d3ed1b21e63da680b2037b1,26.8436111,-108.9119444,203,SONORA,ALAMOS,La Isleta,587.3921,23.6599,"['blanco', 'café']",10.75,15.0125
232603ANGIO,Zea mays subsp. mays raza Blando de Sonora,raza,aceptado,15,9d86c585b588ce686165c3199c642b66,26.3847222,-108.4838889,167,SINALOA,EL FUERTE,El reparito,751.0499,24.1014,['blanco'],12,17.555
232603ANGIO,Zea mays subsp. mays raza Blando de Sonora,raza,aceptado,15,2ff27071d1a051060a3b012de7485114,29.8236111,-110.2260833,615,SONORA,ACONCHI,Aconchi,532.6041,20.7393,['blanco'],12.3333333333333,17.15
232603ANGIO,Zea mays subsp. mays raza Blando de Sonora,raza,aceptado,15,329fb855f6e4335ca39e708fdd70e797,21.7484169,-104.3104706,1063,NAYARIT,LA YESCA,Mesa de Guanacaste,885.1017,22.599,"['amarillo claro', 'amarillo medio', 'amarillo naranja']",9.2,17.65
232603ANGIO,Zea mays subsp. mays raza Blando de Sonora,raza,aceptado,15,a80d547520b782c7d9e7fa8dc76e12b9,21.7484169,-104.3104706,1063,NAYARIT,LA YESCA,Mesa de Guanacaste,885.1017,22.599,['blanco'],9.3,16.855
232603ANGIO,Zea mays subsp. mays raza Blando de Sonora,raza,aceptado,15,cb8e4f425d440fc8d3a35faadc8f6b34,21.7484169,-104.3104706,1063,NAYARIT,LA YESCA,Mesa de Guanacaste,885.1017,22.599,['rojo'],9,16.11
232603ANGIO,Zea mays subsp. mays raza Blando de Sonora,raza,aceptado,15,a4f0ca4ae70b00aa7e9ac340b2572849,27.1476389,-108.804,467,SONORA,ALAMOS,Munihuasa,821.3135,22.8271,['blanco'],10.3,15.865
